Date,Open,High,Low,Close,Adj Close,Volume
10/14/2010,9515.169922,9614.44043,9481.509766,9583.509766,9583.509766,171000
10/15/2010,9551.209961,9553.570313,9478.639648,9500.25,9500.25,143800
10/18/2010,9517.679688,9564.849609,9471.480469,9498.490234,9498.490234,104800
10/19/2010,9490.089844,9575.139648,9489.679688,9539.450195,9539.450195,118500
10/20/2010,9399.650391,9402.049805,9316.969727,9381.599609,9381.599609,138400
10/21/2010,9443.950195,9479.25,9326.780273,9376.480469,9376.480469,131500
10/22/2010,9404.089844,9457.620117,9390.139648,9426.709961,9426.709961,108500
10/25/2010,9424.44043,9460.700195,9392.679688,9401.160156,9401.160156,98000
10/26/2010,9386.549805,9455.040039,9362.129883,9377.379883,9377.379883,107300
10/27/2010,9436.009766,9453.790039,9329.860352,9387.030273,9387.030273,130200
10/28/2010,9368.610352,9413.679688,9350.44043,9366.030273,9366.030273,146800
10/29/2010,9327.25,9337.919922,9179.150391,9202.450195,9202.450195,166900
11/1/2010,9166.849609,9258.320313,9134.469727,9154.719727,9154.719727,125400
11/2/2010,9140.280273,9172.030273,9123.620117,9159.980469,9159.980469,115200
11/4/2010,9282.790039,9377.759766,9276.709961,9358.780273,9358.780273,133100
11/5/2010,9500.599609,9680.679688,9497.450195,9625.990234,9625.990234,160900
11/8/2010,9699.790039,9737.009766,9677.870117,9732.919922,9732.919922,118200
11/9/2010,9667.44043,9726.599609,9659.860352,9694.490234,9694.490234,122100
11/10/2010,9748.610352,9842.900391,9747.030273,9830.519531,9830.519531,168800
11/11/2010,9878.110352,9885.370117,9834.820313,9861.459961,9861.459961,139600
11/12/2010,9810.299805,9851.419922,9724.80957,9724.80957,9724.80957,129400
11/15/2010,9782.110352,9830.589844,9744.990234,9827.509766,9827.509766,128500
11/16/2010,9892.820313,9908.299805,9774.120117,9797.099609,9797.099609,133300
11/17/2010,9693.209961,9817.370117,9693.209961,9811.660156,9811.660156,112600
11/18/2010,9820.599609,10013.62988,9798.55957,10013.62988,10013.62988,188900
11/19/2010,10124.83984,10130.23047,10019.08008,10022.38965,10022.38965,160800
11/22/2010,10133.48047,10157.96973,10091.99023,10115.19043,10115.19043,121800
11/24/2010,9942.540039,10064.30957,9904.919922,10030.11035,10030.11035,150100
11/25/2010,10117.84961,10123.26953,10038.79004,10079.75977,10079.75977,133800
11/26/2010,10078.08984,10134.63965,10039.55957,10039.55957,10039.55957,115800
11/29/2010,10075.66016,10149.94043,10044.00977,10125.99023,10125.99023,124800
11/30/2010,10070.30957,10101.41992,9937.040039,9937.040039,9937.040039,153300
12/1/2010,9939.799805,9988.049805,9918.549805,9988.049805,9988.049805,122600
12/2/2010,10151.15039,10187.58984,10143.08008,10168.51953,10168.51953,131400
12/3/2010,10231.78027,10254,10154.99023,10178.32031,10178.32031,107700
12/6/2010,10175.23047,10179.82031,10143.58008,10167.23047,10167.23047,95300
12/7/2010,10152.91992,10167.09961,10094.41016,10141.09961,10141.09961,114800
12/8/2010,10200.16016,10258.90039,10184.32031,10232.33008,10232.33008,126600
12/9/2010,10277.87012,10298.25,10240.11035,10285.87988,10285.87988,153400
12/10/2010,10373.7002,10373.7002,10194.26953,10211.9502,10211.9502,240700
12/13/2010,10212.51953,10293.88965,10199.73047,10293.88965,10293.88965,145300
12/14/2010,10272.7002,10319.24023,10267.21973,10316.76953,10316.76953,170500
12/15/2010,10338.13965,10340.69043,10282.84961,10309.78027,10309.78027,137400
12/16/2010,10297.54981,10347.38965,10282.54004,10311.29004,10311.29004,140800
12/17/2010,10307.16992,10327.41992,10280.79981,10303.83008,10303.83008,140400
12/20/2010,10296.54981,10301.15039,10182.74023,10216.41016,10216.41016,113600
12/21/2010,10277.13965,10372.50977,10266.29004,10370.53027,10370.53027,113300
